train_domain,test_domain,mean_score,std_score,min_score,max_score,num_samples,score_type,is_id,label,auroc,fpr95
art_painting,art_painting,24.376865,0.37157226,23.032066,25.744781,2048,eps_mse,True,ID_for_noise_ood,0.9029255615234374,0.384765625
art_painting,photo,24.494144,0.41673175,22.95631,26.223362,1670,eps_mse,False,Neighbor,,
art_painting,sketch,24.667189,0.39087793,22.967403,26.293167,3928,eps_mse,False,Neighbor,,
art_painting,noise,25.01354,0.326813,23.899864,26.279129,10000,eps_mse,False,Noise_OOD,0.9029255615234374,0.384765625
photo,art_painting,24.374702,0.37651664,23.013317,25.669867,2048,eps_mse,False,Neighbor,,
photo,photo,23.796974,0.76487434,21.338867,25.578415,1670,eps_mse,True,ID_for_noise_ood,0.9750023353293413,0.11137724550898204
photo,sketch,24.501623,0.3570843,23.422585,25.854715,3928,eps_mse,False,Neighbor,,
photo,noise,25.133482,0.32559583,23.74661,26.317694,10000,eps_mse,False,Noise_OOD,0.9750023353293413,0.11137724550898204
sketch,art_painting,24.86908,0.39611748,23.700489,26.578445,2048,eps_mse,False,Neighbor,,
sketch,photo,24.9625,0.48237497,23.501053,26.585512,1670,eps_mse,False,Neighbor,,
sketch,sketch,24.150215,0.39011532,22.64994,25.624344,3928,eps_mse,True,ID_for_noise_ood,0.9999973778004074,0.0
sketch,noise,26.579103,0.38009563,25.084,28.144161,10000,eps_mse,False,Noise_OOD,0.9999973778004074,0.0
